link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.rightmove.co.uk/properties/92276088#/?channel=RES_LET,"OpenRent, London","£3,895 pcm
£899 pw",2,Covent Garden,278,392,-114
https://www.rightmove.co.uk/properties/91210737#/?channel=RES_LET,"Century 21 London Central, Westminster","£2,550 pcm
£588 pw",2,Covent Garden,182,392,-210
https://www.rightmove.co.uk/properties/92281845#/?channel=RES_LET,"London Executive, London","£4,750 pcm
£1,096 pw",2,Soho,339,400,-61
https://www.rightmove.co.uk/properties/157208378#/?channel=RES_LET,"Arbitrage Group, London","£5,750 pcm
£1,327 pw",3,Soho,411,637,-226
https://www.rightmove.co.uk/properties/92282616#/?channel=RES_LET,"Winkworth, West End","£2,817 pcm
£650 pw",2,Oxford Circus,201,408,-207
https://www.rightmove.co.uk/properties/91210818#/?channel=RES_LET,"Century 21 London Central, Westminster","£2,575 pcm
£594 pw",2,King's Cross St Pancras,184,256,-72
https://www.onthemarket.com/details/20190646/,"Maclise Road, London W14","3,900 pcm (£900 pw)",3,Kensington Olympia,279,362,-83
https://www.onthemarket.com/details/11689889/,"Aynhoe Road, Brook Green, London, W14","2,650 pcm (£612 pw)",2,Kensington Olympia,189,237,-48
https://www.onthemarket.com/details/19646022/,"Hyde Park Mansions, London","5,850 pcm (£1,350 pw)",3,Marylebone,418,413,5
https://www.onthemarket.com/details/16227814/,"Jasper Walk, Old Street","3,250 pcm (£750 pw)",2,Old Street,232,236,-4
https://www.onthemarket.com/details/20114651/,"Fosbury Mews, London","4,767 pcm (£1,100 pw)",2,Lancaster Gate,340,296,44
https://www.onthemarket.com/details/20189961/,London SW7,"3,900 pcm (£900 pw)",2,Gloucester Road,279,355,-76
