link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.zoopla.co.uk/to-rent/details/73706656/,Newington Real Estate Agents Limited,"£5,425 pcm",3,Baker Street,388,476,-88
https://www.rightmove.co.uk/properties/90825612#/?channel=RES_LET,"Stelfort, London","£3,150 pcm
£727 pw",2,Oxford Circus,225,408,-183
https://www.rightmove.co.uk/properties/90855150#/?channel=RES_LET,"Tate Residential Ltd, London","£3,000 pcm
£692 pw",2,Gloucester Road,214,355,-141
https://www.zoopla.co.uk/to-rent/details/54662290/,Stelfort,"£3,150 pcm",2,Oxford Circus,225,408,-183
https://www.zoopla.co.uk/to-rent/details/65005378/,Hemmingfords,"£2,900 pcm",2,Angel,207,236,-29
https://www.zoopla.co.uk/to-rent/details/73708026/,OpenRent,"£4,000 pcm",2,Victoria,286,357,-71
https://www.zoopla.co.uk/to-rent/details/73710396/,London House,"£7,003 pcm",6,King's Cross St Pancras,500,487,13
https://www.zoopla.co.uk/to-rent/details/73703354/,Frank Harris & Co. Bloomsbury,"£3,300 pcm",2,King's Cross St Pancras,236,256,-20
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-gower-mews-mansions-wc1e/2878461,,"£3,445 pcm",2,Soho,246,400,-154
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-black-bull-court-ec1n/2912266,,"£3,200 pcm",2,Holborn,229,380,-151
https://www.onthemarket.com/details/19925661/,Kings Cross,"7,003 pcm (£1,616 pw)",6,King's Cross St Pancras,500,487,13
https://www.onthemarket.com/details/19928302/,"Southampton Row, LONDON","4,000 pcm (£923 pw)",2,Holborn,286,380,-94
https://www.onthemarket.com/details/19924821/,Agecroft House City Centre,"1,295 pcm (£299 pw)",2,Victoria,92,357,-265
