link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.zoopla.co.uk/to-rent/details/73781319/,OpenRent,"£3,895 pcm",2,Soho,278,400,-122
https://www.zoopla.co.uk/to-rent/details/73783842/,JLL - Mayfair,"£5,417 pcm",3,Soho,387,637,-250
https://www.rightmove.co.uk/properties/89976237#/?channel=RES_LET,"Knight Frank - Lettings, Marylebone","£6,283 pcm
£1,450 pw
PREMIUM LISTING",3,Baker Street,449,476,-27
https://www.rightmove.co.uk/properties/88354725#/?channel=RES_LET,"LDG, London","£4,000 pcm
£923 pw",2,Bond Street,286,493,-207
https://www.zoopla.co.uk/to-rent/details/73783181/,Story of Home,"£5,000 pcm",3,Oxford Circus,357,600,-243
https://www.zoopla.co.uk/to-rent/details/67589133/,Plaza Estates,"£3,250 pcm",2,Gloucester Road,232,355,-123
https://www.zoopla.co.uk/to-rent/details/73783747/,RHW Estates,"£2,750 pcm",2,Angel,196,236,-40
https://www.zoopla.co.uk/to-rent/details/73783404/,Hamptons - Islington Lettings,"£4,745 pcm",3,Angel,339,337,2
https://www.zoopla.co.uk/to-rent/details/73786522/,Kenwood Estates,"£3,000 pcm",3,Lancaster Gate,214,463,-249
https://www.onthemarket.com/details/19878826/,"Farm Street, London W1J","4,983 pcm (£1,150 pw)",2,Bond Street,356,493,-137
https://www.onthemarket.com/details/19972286/,JC Living - Kings Cross,"4,000 pcm (£923 pw)",2,Old Street,286,236,50
https://www.zoopla.co.uk/to-rent/details/73777392/,MB Property Services,"£5,850 pcm",4,Goodge Street,418,430,-12
