link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.rightmove.co.uk/properties/90397164#/?channel=RES_LET,"Coopers, London","£6,950 pcm
£1,604 pw",4,Soho,496,957,-461
https://www.rightmove.co.uk/properties/91508994#/?channel=RES_LET,"LDG, London","£3,000 pcm
£692 pw",2,Oxford Circus,214,408,-194
https://www.rightmove.co.uk/properties/90749364#/?channel=RES_LET,"Robert Irving Burns, London","£3,445 pcm
£795 pw",2,Oxford Circus,246,408,-162
https://www.zoopla.co.uk/to-rent/details/61801591/,Oaktree (West London) - Ealing,"£2,800 pcm",2,Regent's Park,200,355,-155
https://www.rightmove.co.uk/properties/91115664#/?channel=RES_LET,"Bentley & Co, Camden","£6,933 pcm
£1,600 pw",5,Regent's Park,495,585,-90
https://www.rightmove.co.uk/properties/90174771#/?channel=RES_LET,"Hanover, St John's Wood","£8,498 pcm
£1,961 pw",3,Regent's Park,,,
https://www.rightmove.co.uk/properties/172241588#/?channel=RES_LET,"Harris Le Beau, London","£6,000 pcm
£1,385 pw
TOWN CENTRE LOCATION",3,Regent's Park,429,512,-83
https://www.zoopla.co.uk/to-rent/details/73864496/,Bentley & Co,"£2,773 pcm",2,King's Cross St Pancras,198,256,-58
https://www.rightmove.co.uk/properties/174593276#/?channel=RES_LET,"Winkworth, West End","£5,997 pcm
£1,384 pw",3,Goodge Street,428,532,-104
https://www.rightmove.co.uk/properties/91509183#/?channel=RES_LET,"Winkworth, West End","£4,117 pcm
£950 pw",4,Russell Square,294,430,-136
https://www.rightmove.co.uk/properties/91085922#/?channel=RES_LET,"Kinleigh Folkard & Hayward - Lettings, Islington","£3,600 pcm
£831 pw",2,Russell Square,257,298,-41
https://www.zoopla.co.uk/to-rent/details/73865427/,Maskells,"£4,500 pcm",2,Gloucester Road,321,355,-34
https://www.zoopla.co.uk/to-rent/details/73592608/,Oakford Estates Ltd,"£3,142 pcm",2,Regent's Park,224,355,-131
https://www.zoopla.co.uk/to-rent/details/73860177/,Marsh & Parsons - Brook Green,"£3,750 pcm",3,Kensington Olympia,268,362,-94
https://www.zoopla.co.uk/to-rent/details/73860771/,The Chant Group,"£3,995 pcm",3,Angel,285,337,-52
https://www.zoopla.co.uk/to-rent/details/73850948/,OpenRent,"£3,600 pcm",2,Angel,257,236,21
https://www.zoopla.co.uk/to-rent/details/73865660/,Kinleigh Folkard & Hayward - Islington,"£3,300 pcm",2,Old Street,236,236,0
https://www.zoopla.co.uk/to-rent/details/73860858/,Prosperity Independent,"£2,500 pcm",2,Old Street,179,236,-57
https://www.zoopla.co.uk/to-rent/details/73860757/,"Cool Cribs Estate Agents, London","£6,370 pcm",4,Old Street,455,436,19
https://www.zoopla.co.uk/to-rent/details/73853788/,Hemmingfords,"£3,300 pcm",2,Old Street,236,236,0
https://www.zoopla.co.uk/to-rent/details/65694333/,Hemmingfords,"£3,000 pcm",2,Old Street,214,236,-22
https://www.zoopla.co.uk/to-rent/details/73843754/,OpenRent,"£2,550 pcm",2,Old Street,182,236,-54
https://www.zoopla.co.uk/to-rent/details/73839219/,,"£4,000 pcm",4,Old Street,286,436,-150
https://www.zoopla.co.uk/to-rent/details/73759193/,Elkay Properties Ltd,"£2,550 pcm",2,Old Street,182,236,-54
https://www.onthemarket.com/details/20047698/,"Sinclair Road, London W14","3,000 pcm (£692 pw)",2,Kensington Olympia,214,237,-23
https://www.onthemarket.com/details/19841086/,"Lakeside Road, London W14","2,500 pcm (£577 pw)",2,Kensington Olympia,179,237,-58
https://www.onthemarket.com/details/17562870/,"Addison Bridge Place, Brook Green, London, W14","3,800 pcm (£877 pw)",3,Kensington Olympia,271,362,-91
https://www.onthemarket.com/details/17437637/,"Britannia Street, London WC1X","2,400 pcm (£554 pw)",2,King's Cross St Pancras,171,256,-85
https://www.onthemarket.com/details/18665028/,Bamboo Living - London,"2,800 pcm (£646 pw)",,Baker Street,,,
https://www.rightmove.co.uk/properties/90642336#/?channel=RES_LET,"Life Residential, Nine Elms Riverside Office","£4,500 pcm
£1,038 pw",2,Covent Garden,321,392,-71
https://www.rightmove.co.uk/properties/91342056#/?channel=RES_LET,"Eldridge Estates, London","£3,400 pcm
£785 pw",2,Baker Street,243,348,-105
https://www.onthemarket.com/details/12595421/,"Strathmore Court, London","8,753 pcm (£2,020 pw)",5,Baker Street,,,
https://www.rightmove.co.uk/properties/91349487#/?channel=RES_LET,"Tuckerman Residential Limited, London","£3,500 pcm
£808 pw
NEW LISTING",2,Victoria,250,357,-107
https://www.onthemarket.com/details/20050939/,"Grafton Chambers, Grafton Place, London","4,700 pcm (£1,085 pw)",4,King's Cross St Pancras,336,436,-100
https://www.rightmove.co.uk/properties/90327246#/?channel=RES_LET,"London Move, London","£4,000 pcm
£923 pw",3,Russell Square,286,463,-177
https://www.onthemarket.com/details/13079315/,"Dombey Street, Holborn","4,000 pcm (£923 pw)",3,Holborn,286,610,-324
https://www.onthemarket.com/details/20050938/,"Grimthorpe House, Percival Street, London","4,500 pcm (£1,038 pw)",4,Farringdon,321,496,-175
https://www.onthemarket.com/details/19841837/,"White Horse House, 1, Little Britain, London","3,600 pcm (£831 pw)",2,Farringdon,257,312,-55
