link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.zoopla.co.uk/to-rent/details/43816125/,Barnard Marcus - Covent Garden,"£3,400 pcm",2,Goodge Street,243,349,-106
https://www.rightmove.co.uk/properties/89062773#/?channel=RES_LET,"Kubie Gold Associates, London","£3,575 pcm
£825 pw",2,Baker Street,255,348,-93
https://www.zoopla.co.uk/to-rent/details/73598264/,Rentr,"£4,995 pcm",3,Marble Arch,357,635,-278
https://www.rightmove.co.uk/properties/145865375#/?channel=RES_LET,"Cluttons, Hyde Park - Lettings","£7,995 pcm
£1,845 pw",3,Marble Arch,,,
https://www.rightmove.co.uk/properties/157489787#/?channel=RES_LET,"London Executive, London","£5,000 pcm
£1,154 pw",2,Oxford Circus,357,408,-51
https://www.rightmove.co.uk/properties/91304073#/?channel=RES_LET,"Bentley & Co, Camden","£3,207 pcm
£740 pw",2,Regent's Park,229,355,-126
https://www.rightmove.co.uk/properties/90130737#/?channel=RES_LET,"Huddletons, Camden","£3,100 pcm
£715 pw",2,Regent's Park,221,355,-134
https://www.zoopla.co.uk/to-rent/details/73801489/,OpenRent,"£3,600 pcm",2,Goodge Street,257,349,-92
https://www.rightmove.co.uk/properties/90103617#/?channel=RES_LET,"Knight Frank - Lettings, Belgravia","£8,342 pcm
£1,925 pw",3,Victoria,,,
https://www.rightmove.co.uk/properties/163414706#/?channel=RES_LET,"Aeria Apartments, London","£9,050 pcm
£2,088 pw",3,Victoria,,,
https://www.rightmove.co.uk/properties/160946759#/?channel=RES_LET,"Aeria Apartments, London","£9,500 pcm
£2,192 pw",3,Victoria,,,
https://www.rightmove.co.uk/properties/91063353#/?channel=RES_LET,"Stelfort, London","£3,000 pcm
£692 pw",3,King's Cross St Pancras,214,350,-136
https://www.onthemarket.com/details/19956148/,Featured Property,"3,500 pcm (£808 pw)",2,King's Cross St Pancras,250,256,-6
https://www.rightmove.co.uk/properties/91023903#/?channel=RES_LET,"Stelfort, London","£2,950 pcm
£681 pw",2,King's Cross St Pancras,211,256,-45
https://www.rightmove.co.uk/properties/90879312#/?channel=RES_LET,"Bentley & Co, Camden","£2,817 pcm
£650 pw",2,King's Cross St Pancras,201,256,-55
https://www.rightmove.co.uk/properties/90760383#/?channel=RES_LET,"OpenRent, London","£5,330 pcm
£1,230 pw",4,King's Cross St Pancras,381,436,-55
https://www.rightmove.co.uk/properties/90760377#/?channel=RES_LET,"OpenRent, London","£3,792 pcm
£875 pw",3,King's Cross St Pancras,271,350,-79
https://www.rightmove.co.uk/properties/169093748#/?channel=RES_LET,"Allen Goldstein, Bloomsbury","£4,800 pcm
£1,108 pw",4,King's Cross St Pancras,343,436,-93
https://www.rightmove.co.uk/properties/89544861#/?channel=RES_LET,"Fyfe McDade Limited, Bloomsbury","£3,965 pcm
£915 pw",3,King's Cross St Pancras,283,350,-67
https://www.rightmove.co.uk/properties/90148917#/?channel=RES_LET,"Victorstone, London","£2,950 pcm
£681 pw",2,King's Cross St Pancras,211,256,-45
https://www.rightmove.co.uk/properties/88533768#/?channel=RES_LET,"OpenRent, London","£3,645 pcm
£841 pw",2,King's Cross St Pancras,260,256,4
https://www.rightmove.co.uk/properties/88076157#/?channel=RES_LET,"Bentley & Co, Camden","£3,142 pcm
£725 pw",2,King's Cross St Pancras,224,256,-32
https://www.rightmove.co.uk/properties/87969339#/?channel=RES_LET,"OpenRent, London","£4,800 pcm
£1,108 pw",4,King's Cross St Pancras,343,436,-93
https://www.zoopla.co.uk/to-rent/details/73810444/,Susan Metcalfe Residential,"£3,501 pcm",2,Gloucester Road,250,355,-105
https://www.zoopla.co.uk/to-rent/details/70370515/,EGRE,"£6,100 pcm",3,Gloucester Road,436,536,-100
https://www.rightmove.co.uk/properties/91139919#/?channel=RES_LET,"Mountgrange Heritage, Kensington","£3,497 pcm
£807 pw",2,Gloucester Road,250,355,-105
https://www.zoopla.co.uk/to-rent/details/73809826/,LiFE Residential - Nine Elms Riverside,"£2,800 pcm",2,Oxford Circus,200,408,-208
https://www.zoopla.co.uk/to-rent/details/72521923/,Bamboo Living Ltd,"£3,560 pcm",3,Kensington Olympia,254,362,-108
https://www.onthemarket.com/details/14761271/,Mayfair W1J,"4,767 pcm (£1,100 pw)",2,Bond Street,340,493,-153
https://www.onthemarket.com/details/20005582/,"Essex Road, London, N1","2,200 pcm (£508 pw)",2,Angel,157,236,-79
https://www.onthemarket.com/details/19877881/,"King's Cross Road, London WC1X","3,000 pcm (£692 pw)",2,King's Cross St Pancras,214,256,-42
https://www.onthemarket.com/details/13673406/,Myspace Estate Agents - Islington,"4,312 pcm (£995 pw)",2,Bond Street,308,493,-185
https://www.onthemarket.com/details/8549953/,"Upper Montagu Street, Marylebone, London","3,792 pcm (£875 pw)",2,Baker Street,271,348,-77
https://www.onthemarket.com/details/18748444/,"Seward Street, LONDON","3,250 pcm (£750 pw)",2,Farringdon,232,312,-80
