link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.rightmove.co.uk/properties/92876691#/?channel=RES_LET,"LDG, London","£3,750 pcm
£865 pw",2,Covent Garden,268,390,-122
https://www.zoopla.co.uk/to-rent/details/71730087/,John D Wood & Co. – Belgravia & Westminster Lettings,"£10,547 pcm",3,Covent Garden,,,
https://www.zoopla.co.uk/to-rent/details/73934747/,Hotblack Desiato - Camden & Kentish Town,"£3,295 pcm",3,Regent's Park,235,512,-277
https://www.rightmove.co.uk/properties/91813443#/?channel=RES_LET,"Regency Estate Group Ltd, London","£4,400 pcm
£1,015 pw",4,Regent's Park,314,495,-181
https://www.zoopla.co.uk/to-rent/details/73688930/,OpenRent,"£3,500 pcm",2,Victoria,250,347,-97
https://www.zoopla.co.uk/to-rent/details/65046408/,Century 21 London Central,"£2,575 pcm",2,King's Cross St Pancras,184,250,-66
https://www.rightmove.co.uk/properties/93465029#/?channel=RES_LET,"Blueprint Living Apartments, London","£4,550 pcm
£1,050 pw",2,Russell Square,325,299,26
https://www.zoopla.co.uk/to-rent/details/74182944/,Pomp Properties,"£2,600 pcm",2,Gloucester Road,186,350,-164
https://www.zoopla.co.uk/to-rent/details/74181810/,Alex Crown Lettings & Estate Agents,"£4,100 pcm",4,Regent's Park,293,495,-202
https://www.zoopla.co.uk/to-rent/details/73923006/,Frank Harris & Co. City,"£4,996 pcm",3,Chancery Lane,357,527,-170
https://www.zoopla.co.uk/to-rent/details/73647262/,Emoov,"£4,725 pcm",3,Angel,338,329,9
https://www.zoopla.co.uk/to-rent/details/74176706/,OpenRent,"£2,800 pcm",2,King's Cross St Pancras,200,250,-50
https://www.onthemarket.com/details/20068267/,JC Living - Kings Cross,"3,748 pcm (£865 pw)",2,Regent's Park,268,341,-73
https://www.rightmove.co.uk/properties/88023762#/?channel=RES_LET,"RR Properties, London","£3,900 pcm
£900 pw",2,Gloucester Road,279,350,-71
https://www.zoopla.co.uk/to-rent/details/74173849/,MB Property Services,"£5,417 pcm",4,Covent Garden,387,957,-570
