link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.zoopla.co.uk/to-rent/details/73923848/,Hamptons - Maida Vale Lettings,"£3,350 pcm",2,Baker Street,239,348,-109
https://www.zoopla.co.uk/to-rent/details/70660155/,Kinleigh Folkard & Hayward - Marylebone,"£4,150 pcm",2,Baker Street,296,348,-52
https://www.onthemarket.com/details/18696897/,Bamboo Living - London,"5,399 pcm (£1,246 pw)",4,Baker Street,386,347,39
https://www.rightmove.co.uk/properties/91134156#/?channel=RES_LET,"The Chant Group, Bank","£4,200 pcm
£969 pw
PREMIUM LISTING",4,Regent's Park,300,495,-195
https://www.zoopla.co.uk/to-rent/details/50468415/,Ryletts Residential,"£6,045 pcm",3,Gloucester Road,432,536,-104
https://www.rightmove.co.uk/properties/90741864#/?channel=RES_LET,"Parkes Estate Agents, Kensington","£3,800 pcm
£877 pw",2,Lancaster Gate,271,296,-25
https://www.zoopla.co.uk/to-rent/details/73880836/,Golden Eagle,"£4,333 pcm",2,Baker Street,310,348,-38
https://www.zoopla.co.uk/to-rent/details/73923006/,Frank Harris & Co. City,"£4,996 pcm",3,Chancery Lane,357,540,-183
https://www.zoopla.co.uk/to-rent/details/73929823/,,"£4,350 pcm",4,Old Street,311,436,-125
https://www.zoopla.co.uk/to-rent/details/73921957/,Stirling Ackroyd - Shoreditch,"£3,750 pcm",2,Old Street,268,236,32
https://www.zoopla.co.uk/to-rent/details/49250869/,Tower Quay Limited,"£2,875 pcm",2,Old Street,205,236,-31
https://www.zoopla.co.uk/to-rent/details/73932050/,OpenRent,"£2,500 pcm",2,King's Cross St Pancras,179,256,-77
https://www.zoopla.co.uk/to-rent/details/73930892/,OpenRent,"£3,400 pcm",2,King's Cross St Pancras,243,256,-13
https://www.zoopla.co.uk/to-rent/details/73926062/,Carter & Reeves,"£4,600 pcm",4,King's Cross St Pancras,329,436,-107
https://www.zoopla.co.uk/to-rent/details/73930391/,Global Quality Estates,"£3,325 pcm",2,Gloucester Road,238,355,-117
https://www.zoopla.co.uk/to-rent/details/57619029/,Home Full Stop Ltd,"£3,900 pcm",2,Gloucester Road,279,355,-76
https://www.onthemarket.com/details/19894714/,"Edith Road, London, W14","2,800 pcm (£646 pw)",2,Kensington Olympia,200,237,-37
https://www.onthemarket.com/details/20097705/,"Richmond Way, London W14","4,000 pcm (£923 pw)",3,Kensington Olympia,286,362,-76
https://www.onthemarket.com/details/19903531/,"Paton Street, London EC1V","3,500 pcm (£808 pw)",,Old Street,,,
https://www.rightmove.co.uk/properties/90730317#/?channel=RES_LET,"I Am The Agent, Nationwide","£3,550 pcm
£819 pw",4,Baker Street,254,347,-93
https://www.rightmove.co.uk/properties/90703710#/?channel=RES_LET,"Frank Harris & Co., Bloomsbury & Kings Cross","£3,700 pcm
£854 pw",2,King's Cross St Pancras,264,256,8
https://www.rightmove.co.uk/properties/90629169#/?channel=RES_LET,"Frank Harris & Co., Bloomsbury & Kings Cross","£3,000 pcm
£692 pw",2,King's Cross St Pancras,214,256,-42
https://www.rightmove.co.uk/properties/90653001#/?channel=RES_LET,"Frank Harris & Co., Bloomsbury & Kings Cross","£3,250 pcm
£750 pw",2,King's Cross St Pancras,232,256,-24
