link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.zoopla.co.uk/to-rent/details/74150090/,Winkworth - West End,"£2,999 pcm",2,Holborn,214,380,-166
https://www.zoopla.co.uk/to-rent/details/73884581/,Frestons,"£3,150 pcm",2,Baker Street,225,342,-117
https://www.zoopla.co.uk/to-rent/details/74150192/,Newington Real Estate Agents Limited,"£8,667 pcm",3,Bond Street,,,
https://www.zoopla.co.uk/to-rent/details/74140095/,NowProperty,"£5,000 pcm",5,Regent's Park,357,585,-228
https://www.zoopla.co.uk/to-rent/details/74132058/,Hotblack Desiato - Camden & Kentish Town,"£2,817 pcm",2,Regent's Park,201,341,-140
https://www.rightmove.co.uk/properties/92723073#/?channel=RES_LET,"John D Wood & Co. Lettings, Belgravia","£3,500 pcm
£808 pw",2,Victoria,250,347,-97
https://www.rightmove.co.uk/properties/91698351#/?channel=RES_LET,"Hamptons, Pimlico & Westminster","£5,000 pcm
£1,154 pw
NEW LISTING",2,Victoria,357,347,10
https://www.rightmove.co.uk/properties/92769465#/?channel=RES_LET,"The Chant Group, Bank","£2,800 pcm
£646 pw
PREMIUM LISTING",2,King's Cross St Pancras,200,250,-50
https://www.rightmove.co.uk/properties/91679049#/?channel=RES_LET,"Cluttons, Islington - Lettings","£3,250 pcm
£750 pw",2,King's Cross St Pancras,232,250,-18
https://www.rightmove.co.uk/properties/91659675#/?channel=RES_LET,"PG Estates, Islington","£5,600 pcm
£1,292 pw",4,King's Cross St Pancras,400,436,-36
https://www.rightmove.co.uk/properties/39856837#/?channel=RES_LET,"Arlington Estates, London","£3,748 pcm
£865 pw",2,King's Cross St Pancras,268,250,18
https://www.rightmove.co.uk/properties/92760114#/?channel=RES_LET,"Andrew Reeves, Westminster & Pimlico","£5,000 pcm
£1,154 pw",3,Gloucester Road,357,506,-149
https://www.rightmove.co.uk/properties/92671773#/?channel=RES_LET,"OpenRent, London","£8,500 pcm
£1,962 pw",3,Gloucester Road,,,
https://www.rightmove.co.uk/properties/92231922#/?channel=RES_LET,"Winkworth, South Kensington - Lettings","£4,900 pcm
£1,131 pw",2,Gloucester Road,350,350,0
https://www.rightmove.co.uk/properties/90985800#/?channel=RES_LET,"Eson2, London","£4,830 pcm
£1,115 pw",2,Gloucester Road,345,350,-5
https://www.rightmove.co.uk/properties/172444328#/?channel=RES_LET,"Hamptons, Chelsea","£4,500 pcm
£1,038 pw",2,Gloucester Road,321,350,-29
https://www.rightmove.co.uk/properties/92757555#/?channel=RES_LET,"Newington estates, London","£3,510 pcm
£810 pw",2,Lancaster Gate,251,290,-39
https://www.zoopla.co.uk/to-rent/details/74145670/,LiFE Residential - Nine Elms Riverside,"£2,900 pcm",2,Covent Garden,207,390,-183
https://www.zoopla.co.uk/to-rent/details/74149400/,Sandfords - Regent's Park,"£3,445 pcm",2,Baker Street,246,342,-96
https://www.zoopla.co.uk/to-rent/details/74122387/,Newington Real Estate Agents Limited,"£5,447 pcm",2,Baker Street,389,342,47
https://www.zoopla.co.uk/to-rent/details/73900994/,Kravens,"£1,250 pcm",3,Baker Street,89,466,-377
https://www.zoopla.co.uk/to-rent/details/59289742/,RentLondonFlat,"£3,380 pcm",2,Oxford Circus,241,403,-162
https://www.zoopla.co.uk/to-rent/details/74151321/,OpenRent,"£3,500 pcm",3,Regent's Park,250,512,-262
https://www.zoopla.co.uk/to-rent/details/73889729/,JC Living,"£3,748 pcm",2,Regent's Park,268,341,-73
https://www.zoopla.co.uk/to-rent/details/74102263/,OpenRent,"£3,600 pcm",2,Kensington Olympia,257,231,26
https://www.zoopla.co.uk/to-rent/details/73896933/,Kinleigh Folkard & Hayward - Hammersmith,"£3,500 pcm",2,Kensington Olympia,250,231,19
https://www.zoopla.co.uk/to-rent/details/73630274/,OpenRent,"£4,380 pcm",4,Kensington Olympia,313,540,-227
https://www.zoopla.co.uk/to-rent/details/62175757/,Winkworth - Clerkenwell & City,"£3,200 pcm",2,Chancery Lane,229,321,-92
https://www.zoopla.co.uk/to-rent/details/74154261/,OpenRent,"£3,500 pcm",2,Angel,250,241,9
https://www.zoopla.co.uk/to-rent/details/74144806/,Living Space Estate Agents,"£2,650 pcm",2,Old Street,189,233,-44
https://www.onthemarket.com/details/20265000/,"Middle Street, London EC1A","5,200 pcm (£1,200 pw)",4,Farringdon,371,496,-125
https://www.onthemarket.com/details/20271209/,"South Kensington, London, SW7","3,500 pcm (£808 pw)",2,Gloucester Road,250,350,-100
https://www.rightmove.co.uk/properties/92758032#/?channel=RES_LET,"Venice Properties Ltd, London","£3,700 pcm
£854 pw",3,Marylebone,264,403,-139
https://www.onthemarket.com/details/20255180/,"Northdown Street, London","3,900 pcm (£900 pw)",4,King's Cross St Pancras,279,436,-157
https://www.onthemarket.com/details/13774330/,Lexham Gardens Kensington,"4,333 pcm (£1,000 pw)",,Gloucester Road,,,
https://www.rightmove.co.uk/properties/88023648#/?channel=RES_LET,"RR Properties, London","£3,900 pcm
£900 pw",2,Gloucester Road,279,350,-71
https://www.rightmove.co.uk/properties/87949803#/?channel=RES_LET,"RR Properties, London","£6,500 pcm
£1,500 pw",3,Gloucester Road,464,506,-42
https://www.onthemarket.com/details/20060834/,Spotlight Property,"3,550 pcm (£819 pw)",2,Lancaster Gate,254,290,-36
https://www.onthemarket.com/details/10202002/,"Anderson Square, London","3,750 pcm (£865 pw)",2,Angel,268,241,27
https://www.onthemarket.com/details/11279331/,"Flat 17, Printing Press House, School Street","1,350 pcm (£312 pw)",2,Victoria,96,347,-251
https://www.rightmove.co.uk/properties/90230817#/?channel=RES_LET,"RR Properties, London","£6,283 pcm
£1,450 pw",4,Bond Street,449,1260,-811
https://www.zoopla.co.uk/to-rent/details/73882808/,OpenRent,"£2,495 pcm",2,Kensington Olympia,178,231,-53
https://www.onthemarket.com/details/14364352/,London W1K,"11,267 pcm (£2,600 pw)",3,Bond Street,,,
