link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.rightmove.co.uk/properties/90274836#/?channel=RES_LET,"City & Urban, Shoreditch","£3,500 pcm
£808 pw",2,Baker Street,250,348,-98
https://www.zoopla.co.uk/to-rent/details/71803886/,Cluttons - Hyde Park,"£6,933 pcm",4,Marble Arch,495,540,-45
https://www.rightmove.co.uk/properties/91701909#/?channel=RES_LET,"Tyers Yan Management, London","£4,745 pcm
£1,095 pw",2,Goodge Street,339,349,-10
https://www.zoopla.co.uk/to-rent/details/74100651/,Element Properties & Co,"£3,500 pcm",2,Holborn,250,380,-130
https://www.rightmove.co.uk/properties/98631332#/?channel=RES_LET,"Blueprint Living Apartments, London","£4,008 pcm
£925 pw",2,Russell Square,286,298,-12
https://www.rightmove.co.uk/properties/175048007#/?channel=RES_LET,"tlc Estate Agents, Chelsea","£5,500 pcm
£1,269 pw",3,Gloucester Road,393,536,-143
https://www.rightmove.co.uk/properties/90278715#/?channel=RES_LET,"Susan Metcalfe Residential, London","£5,850 pcm
£1,350 pw",3,Gloucester Road,418,536,-118
https://www.rightmove.co.uk/properties/92283774#/?channel=RES_LET,"City Relay, London Short/Mid","£3,800 pcm
£877 pw
PREMIUM LISTING",2,Lancaster Gate,271,296,-25
https://www.rightmove.co.uk/properties/92011872#/?channel=RES_LET,"Knight Frank - Lettings, Hyde Park","£5,417 pcm
£1,250 pw
PREMIUM LISTING",3,Lancaster Gate,387,463,-76
https://www.rightmove.co.uk/properties/175058981#/?channel=RES_LET,"Hamptons, Paddington","£3,293 pcm
£760 pw
PREMIUM LISTING",2,Lancaster Gate,235,296,-61
https://www.zoopla.co.uk/to-rent/details/74100096/,OpenRent,"£2,800 pcm",2,Old Street,200,236,-36
https://www.zoopla.co.uk/to-rent/details/61350775/,Victorstone,"£4,900 pcm",4,King's Cross St Pancras,350,436,-86
https://www.onthemarket.com/details/20233529/,London SW7,"3,900 pcm (£900 pw)",2,Gloucester Road,279,355,-76
