link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.rightmove.co.uk/properties/91299747#/?channel=RES_LET,"Fox Gregory, St. Johns Wood","£9,000 pcm
£2,077 pw",3,Baker Street,,,
https://www.zoopla.co.uk/to-rent/details/73361258/,Kubie Gold Associates,"£3,400 pcm",2,Baker Street,243,348,-105
https://www.zoopla.co.uk/to-rent/details/67757061/,Winkworth - Pimlico,"£4,800 pcm",4,Victoria,343,540,-197
https://www.zoopla.co.uk/to-rent/details/73808647/,Phoenix Property International,"£6,250 pcm",3,Victoria,446,708,-262
https://www.zoopla.co.uk/to-rent/details/56205390/,Bentley & Co,"£3,683 pcm",3,King's Cross St Pancras,263,350,-87
https://www.zoopla.co.uk/to-rent/details/48010157/,BPS London,"£3,750 pcm",3,King's Cross St Pancras,268,350,-82
https://www.zoopla.co.uk/to-rent/details/73878302/,Oakford Estates Ltd,"£3,575 pcm",3,Holborn,255,610,-355
https://www.zoopla.co.uk/to-rent/details/62175757/,Winkworth - Clerkenwell & City,"£3,200 pcm",2,Chancery Lane,229,320,-91
https://www.zoopla.co.uk/to-rent/details/72230950/,Invest&Co,"£4,750 pcm",2,Victoria,339,357,-18
https://www.zoopla.co.uk/to-rent/details/73744048/,Pestell & Co,"£3,500 pcm",2,Victoria,250,357,-107
https://www.zoopla.co.uk/to-rent/details/52232846/,Tony Alan Estates,"£3,050 pcm",2,King's Cross St Pancras,218,256,-38
https://www.onthemarket.com/details/20058589/,"Caithness Road, London, W14","2,250 pcm (£519 pw)",2,Kensington Olympia,161,237,-76
https://www.onthemarket.com/details/20054625/,"Porten Road, London, W14","3,500 pcm (£808 pw)",2,Kensington Olympia,250,237,13
https://www.onthemarket.com/details/19864774/,No Agent Fees,"3,000 pcm (£692 pw)",2,Old Street,214,236,-22
https://www.onthemarket.com/details/20010673/,Featured Property,"3,500 pcm (£808 pw)",2,Gloucester Road,250,355,-105
https://www.onthemarket.com/details/19860059/,"Petersham Mews, London SW7","2,816 pcm (£650 pw)",2,Gloucester Road,201,355,-154
https://www.onthemarket.com/details/16164424/,Wendover Court,"5,304 pcm (£1,224 pw)",2,Baker Street,379,348,31
https://www.onthemarket.com/details/11914160/,"Cleveland Street, Fitzrovia","3,200 pcm (£738 pw)",2,Oxford Circus,229,408,-179
https://www.onthemarket.com/details/19722534/,"New Wharf Road, Kings Cross","3,250 pcm (£750 pw)",2,King's Cross St Pancras,232,256,-24
https://www.rightmove.co.uk/properties/91571682#/?channel=RES_LET,"Marsh & Parsons, Notting Hill","£7,000 pcm
£1,615 pw",3,Lancaster Gate,500,463,37
https://www.onthemarket.com/details/20051403/,Agecroft House Northern Quarter,"1,395 pcm (£322 pw)",2,Victoria,100,357,-257
