link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.zoopla.co.uk/to-rent/details/73852047/,The Chant Group,"£3,500 pcm",2,Soho,250,400,-150
https://www.onthemarket.com/details/3727911/,"Dudley Court, 36 Endell Street, London, WC2H","3,792 pcm (£875 pw)",3,Covent Garden,271,639,-368
https://www.onthemarket.com/details/11345150/,"Shaftesbury Avenue, Covent Garden, London, WC2H","3,575 pcm (£825 pw)",2,Covent Garden,255,392,-137
https://www.rightmove.co.uk/properties/90395781#/?channel=RES_LET,"Kubie Gold Associates, London","£3,295 pcm
£760 pw",2,Baker Street,235,348,-113
https://www.zoopla.co.uk/to-rent/details/73825123/,Home-Made,"£4,250 pcm",3,King's Cross St Pancras,304,350,-46
https://www.rightmove.co.uk/properties/89765382#/?channel=RES_LET,"Victorstone, London","£5,100 pcm
£1,177 pw",4,King's Cross St Pancras,364,436,-72
https://www.rightmove.co.uk/properties/89584902#/?channel=RES_LET,"Hudsons Property, London","£3,943 pcm
£910 pw",2,Goodge Street,282,349,-67
https://www.zoopla.co.uk/to-rent/details/73845086/,Liu International UK Limited,"£3,500 pcm",2,Chancery Lane,250,320,-70
https://www.rightmove.co.uk/properties/175048007#/?channel=RES_LET,"tlc Estate Agents, Chelsea","£5,500 pcm
£1,269 pw",3,Gloucester Road,393,536,-143
https://www.rightmove.co.uk/properties/90287502#/?channel=RES_LET,"Parkes Estate Agents, Kensington","£6,000 pcm
£1,385 pw",3,Gloucester Road,429,536,-107
https://www.rightmove.co.uk/properties/90278715#/?channel=RES_LET,"Susan Metcalfe Residential, London","£5,850 pcm
£1,350 pw",3,Gloucester Road,418,536,-118
https://www.zoopla.co.uk/to-rent/details/73849200/,Newington Real Estate Agents Limited,"£5,850 pcm",3,Lancaster Gate,418,463,-45
https://www.rightmove.co.uk/properties/175058981#/?channel=RES_LET,"Hamptons, Paddington","£3,293 pcm
£760 pw",2,Lancaster Gate,235,296,-61
https://www.zoopla.co.uk/to-rent/details/73833546/,Newington Real Estate Agents Limited,"£3,488 pcm",2,Lancaster Gate,249,296,-47
https://www.zoopla.co.uk/to-rent/details/73482060/,St Martins Estates,"£3,150 pcm",2,Soho,225,400,-175
https://www.zoopla.co.uk/to-rent/details/73850556/,Locus Hackney Ltd,"£4,450 pcm",4,Regent's Park,318,495,-177
https://www.zoopla.co.uk/to-rent/details/73848768/,Urban Spaces City Living,"£2,600 pcm",2,Chancery Lane,186,320,-134
https://www.zoopla.co.uk/to-rent/details/73332051/,Carter & Reeves,"£3,600 pcm",3,Chancery Lane,257,540,-283
https://www.zoopla.co.uk/to-rent/details/55210145/,Chaltons,"£5,000 pcm",4,King's Cross St Pancras,357,436,-79
https://www.zoopla.co.uk/to-rent/details/59719489/,Dendrow,"£4,600 pcm",2,Lancaster Gate,329,296,33
https://www.zoopla.co.uk/to-rent/details/73823108/,Phoenix Property International,"£3,462 pcm",2,Lancaster Gate,247,296,-49
https://www.zoopla.co.uk/to-rent/details/73821712/,Marsh & Parsons - Notting Hill,"£3,250 pcm",2,Lancaster Gate,232,296,-64
https://www.onthemarket.com/details/20037196/,"Lagonier House, London, EC1V","4,250 pcm (£981 pw)",4,Old Street,304,436,-132
